,,28th Nov
Arsenal,Huddersfield
Bournemouth,Burnley
Chelsea,Swansea
Everton,West Ham
Man C,Southampton
Stoke,Liverpool
Brighton,Crystal Palace
Leicester,Tottenham
Watford,Man U
WBA,Newcastle
,,2nd Dec
Chelsea,Newcastle
Brighton,Liverpool
Everton,Huddersfield
Leicester,Burnley
Stoke,Swansea
Watford,Tottenham
WBA,Crystal Palace
Arsenal,Man U
Bournemouth,Southampton
Man C,West Ham
,,9th Dec
West Ham,Chelsea
Burnley,Watford
Crystal Palace,Bournemouth
Huddersfield,Brighton
Swansea,WBA
Tottenham,Stoke
Newcastle,Leicester
Southampton,Arsenal
Liverpool,Everton
Man U,Man C
,,12th Dec
Burnley,Stoke
Crystal Palace,Watford
Huddersfield,Chelsea
Newcastle,Everton
Southampton,Leicester
Swansea,Man C
Liverpool,WBA
Man U,Bournemouth
Tottenham,Brighton
West Ham,Arsenal
,,1
Arsenal,Burnley
Chelsea,Crystal Palace
Brighton,Everton
Leicester,Southampton
Liverpool,Swansea
Stoke,Tottenham
Man C,Man U
Huddersfield,Watford
Newcastle,WBA
Bournemouth,West Ham
,,56
Brighton,Bournemouth
Crystal Palace,Burnley
Everton,Chelsea
Huddersfield,Leicester
Southampton,Stoke
Liverpool,Swansea
Man C,Tottenham
Newcastle,Man U
Watford,WBA
Arsenal,West Ham
,,45
Bournemouth,Burnley
Brighton,Crystal Palace
Everton,Leicester
Huddersfield,Southampton
Liverpool,Stoke
Swansea,Tottenham
Man C,Man U
Chelsea,Watford
Newcastle,WBA
Arsenal,West Ham
